series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Sex,Units,Sex_description,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),36,134.3499412,-25.57717202,AUS,Australia,1,FEMALE,PERCENT,Female,Percentage,22.9,25.08,24.83,25.89,26.59,28.3,28.59,29.31,30.72,30.47,29.68,31.73,31.06,31.58,32.33,33.17,32.58,32.144,2016,32.58,ILOSTAT - LFS - Labour Force Survey,C,11
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),40,14.14172472,47.58704857,AUT,Austria,1,FEMALE,PERCENT,Female,Percentage,28.13,29.38,30.78,28.5,22.18,21.5,20.96,21,25.19,23.25,25.42,26.07,27.13,26.33,27.85,27.88,29.52,27.742,2016,29.52,ILOSTAT - LFS - EU Labour Force Survey,C,12
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),44,-78.05111663,24.69546597,BHS,Bahamas,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,13
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),48,50.5490754,26.04407747,BHR,Bahrain,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,14
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),50,89.17660788,22.86961622,BGD,Bangladesh,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,15
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),51,44.93839317,40.29499741,ARM,Armenia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,16
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),52,-59.5346489,13.13648273,BRB,Barbados,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,17
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),56,4.660976456,50.64104975,BEL,Belgium,1,FEMALE,PERCENT,Female,Percentage,24.53,28.38,27.97,27.33,26.91,30.24,31.13,33.54,31.9,34.57,34.77,30.45,31.67,30.75,31.3,31.04,31.98,31.348,2016,31.98,ILOSTAT - LFS - EU Labour Force Survey,C,18
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),60,-64.78155012,32.27881922,BMU,Bermuda,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,19
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),64,90.45098484,27.39598568,BTN,Bhutan,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,20
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),68,-64.66224284,-16.71273412,BOL,Bolivia (Plurinational State of),1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,21
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),70,17.78584332,44.16845548,BIH,Bosnia and Herzegovina,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,24.15,24.18,,24.165,2015,24.18,ILOSTAT - LFS - Labour Force Survey,C,22
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),72,23.81380223,-22.18810073,BWA,Botswana,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,23
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),74,3.410732868,-54.43295905,BVT,Bouvet Island,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,24
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),76,-53.08432878,-10.77668561,BRA,Brazil,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,36.44,36.95,37.37,37.97,38.23,37.392,2016,38.23,ILOSTAT - LFS - Quarterly Labour Force Survey,C,25
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),84,-88.70199554,17.19965901,BLZ,Belize,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,36.61,36.36,36.485,2016,36.36,ILOSTAT - LFS - Labour force survey,C,26
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),86,72.38715553,-7.299281071,IOT,British Indian Ocean Territory,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,27
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),90,160.1584117,-9.622391719,SLB,Solomon Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,28
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),92,-64.63294223,18.42256578,VGB,British Virgin Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,29
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),96,114.6288563,4.49736984,BRN,Brunei Darussalam,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,32.51,,,32.51,2014,32.51,ILOSTAT - LFS - Labour force survey,C,30
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),100,25.23763153,42.75731323,BGR,Bulgaria,1,FEMALE,PERCENT,Female,Percentage,37.46,40.52,42.31,37.8,41.43,40.61,37.56,36.41,36.51,35.79,38.63,37,35.5,36,35.36,37.38,39.28,36.704,2016,39.28,ILOSTAT - LFS - EU Labour Force Survey,C,31
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),104,96.51752295,21.19332882,MMR,Myanmar,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,28.34,,28.34,2015,28.34,ILOSTAT - LFS - Labour force survey,C,32
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),108,29.89080992,-3.366387428,BDI,Burundi,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,33
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),112,28.04940161,53.54193075,BLR,Belarus,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,46.97,,,,,,,,,2009,46.97,ILOSTAT - PC - Population census,C,34
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),116,104.922836,12.71163737,KHM,Cambodia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,14.13,,16.67,,,,,16.67,2012,16.67,ILOSTAT - LFS - Labour force survey,C,35
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),120,12.7419827,5.692387031,CMR,Cameroon,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,36
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),124,-101.6575058,57.72360191,CAN,Canada,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,37
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),132,-23.63544151,15.07791834,CPV,Cabo Verde,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,38
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),136,-81.16740559,19.32266656,CYM,Cayman Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,39
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),140,20.93559492,7.003720791,CAF,Central African Republic,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,40
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),144,80.70489654,7.614693343,LKA,Sri Lanka,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,19.96,23.73,21.87,22.69,23.48,23.97,,,23.38,2014,23.97,ILOSTAT - LFS - Sri Lanka Labour Force Survey,C,41
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),148,18.66618401,15.36279341,TCD,Chad,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,42
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),152,-71.23029019,-35.2652885,CHL,Chile,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,43
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),156,104.1403375,32.30955217,CHN,China,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,44
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),162,105.6426067,-10.4882473,CXR,Christmas Island,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,45
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),166,96.82633757,-12.18600682,CCK,Cocos (Keeling) Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,46
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),170,-73.07446751,3.888209046,COL,Colombia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,47
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),174,43.34234565,-11.66121732,COM,Comoros,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,48
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),175,45.14015057,-12.82217691,MYT,Mayotte,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,49
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),178,15.22052612,-0.840544119,COG,Congo,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,50
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),180,23.65496507,-2.877154732,COD,Democratic Republic of the Congo,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,51
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),184,-159.7711391,-21.22696458,COK,Cook Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,52
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),188,-84.19712782,9.970998683,CRI,Costa Rica,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,29.69,,29.21,36.59,,,,32.9,2013,36.59,ILOSTAT - LFS - National Household Survey,C,53
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),191,17.95874553,45.45172212,HRV,Croatia,1,FEMALE,PERCENT,Female,Percentage,,,26.75,28.26,17.51,28.21,27.47,22.72,32.1,37.2,27.43,23.57,25.77,23.87,24.37,26.12,29.5,25.926,2016,29.5,ILOSTAT - LFS - EU Labour Force Survey,C,54
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),192,-79.54460144,22.10030366,CUB,Cuba,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,55
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),196,33.22285964,35.05659437,CYP,Cyprus,1,FEMALE,PERCENT,Female,Percentage,18.49,18.55,17.3,17.94,17,17.07,17.23,17.69,20.44,13.76,14.32,14.67,16.44,18.7,18.14,25.22,26.99,21.098,2016,26.99,ILOSTAT - LFS - EU Labour Force Survey,C,56
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),203,15.33151382,49.73913871,CZE,Czechia,1,FEMALE,PERCENT,Female,Percentage,26.38,29.07,27.85,31.52,30.29,31.54,30.68,29.47,29.22,28.73,27.75,24.04,23.11,24.54,26.62,27.8,23.11,25.036,2016,23.11,ILOSTAT - LFS - EU Labour Force Survey,C,57
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),204,2.339933594,9.65401646,BEN,Benin,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,58
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),208,9.326571283,56.03829721,DNK,Denmark,1,FEMALE,PERCENT,Female,Percentage,19.74,17.57,17.88,20.48,20.62,21.36,20.36,25.3,19.85,20.39,19.49,28.64,28.82,27.46,26.2,26.9,28.58,27.592,2016,28.58,ILOSTAT - LFS - EU Labour Force Survey,C,59
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),212,-61.3493756,15.43391378,DMA,Dominica,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,60
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),214,-70.49847576,18.89832088,DOM,Dominican Republic,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,38.84,36.98,45.36,47.45,9.58,53.36,48.78,46.99,52.81,55.47,51.482,2016,55.47,ILOSTAT - LFS - National Labour Force Survey,C,61
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),218,-78.37005241,-1.447785891,ECU,Ecuador,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,42.62,41.09,35.55,35.59,33.32,33.95,35.9,2016,33.95,"ILOSTAT - LFS - National Survey on Employment, Unemployment and Underemployment",C,62
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),222,-88.86862995,13.73603564,SLV,El Salvador,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,42.69,35.58,40.67,34.08,38.255,2016,34.08,ILOSTAT - HS - Multi-purpose household survey,C,63
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),226,10.46535826,1.565792376,GNQ,Equatorial Guinea,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,64
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),231,39.63505296,8.631223181,ETH,Ethiopia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,18.65,19.11,20.73,20.89,21.08,,,,20.985,2013,21.08,ILOSTAT - LFS - National Labor Force Survey,C,65
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),232,38.11074289,16.12894644,ERI,Eritrea,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,66
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),233,25.84093481,58.68487172,EST,Estonia,1,FEMALE,PERCENT,Female,Percentage,34.83,38.17,37.17,34.8,41.23,41.04,39.63,34.91,36.6,34.34,38.37,34.63,31.62,32.81,30.84,27.84,31.63,30.948,2016,31.63,ILOSTAT - LFS - EU Labour Force Survey,C,67
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),234,-7.122044325,62.21228119,FRO,Faroe Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,68
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),238,-58.75246778,-51.74562601,FLK,Falkland Islands (Malvinas),1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,69
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),239,-36.90662765,-54.20736749,SGS,South Georgia and the South Sandwich Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,70
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),242,177.9660884,-17.83301566,FJI,Fiji,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,30.71,,,,,38.58,38.58,2016,38.58,"ILOSTAT - LFS - Employment, Unemployment Survey",C,71
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),246,23.308447,61.91586738,FIN,Finland,1,FEMALE,PERCENT,Female,Percentage,27.55,29.74,30.23,30.93,30.68,32.67,33.85,32.28,33.58,34.71,34.34,31.09,29.67,29.47,34.26,33.49,34.06,32.19,2016,34.06,ILOSTAT - LFS - EU Labour Force Survey,C,72
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),248,19.80945969,60.1544901,ALA,Åland Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,73
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),250,2.457288129,46.62660861,FRA,France,1,FEMALE,PERCENT,Female,Percentage,31.65,32.55,34.48,32.53,33.06,36.34,37,36.46,36.77,37.38,38.54,39.14,39.19,35.58,32.01,30.93,31.07,33.756,2016,31.07,ILOSTAT - LFS - EU Labour Force Survey,C,74
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),254,-53.23619089,3.922673437,GUF,French Guiana,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,75
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),258,-149.4052367,-17.67709294,PYF,French Polynesia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,76
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),260,69.64849091,-49.6068576,ATF,French Southern Territories,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,77
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),262,42.18274707,11.56004161,DJI,Djibouti,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,78
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),266,11.78727747,-0.60687619,GAB,Gabon,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,79
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),268,43.3713615,42.04813028,GEO,Georgia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,80
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),270,-15.39944785,13.45295927,GMB,Gambia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,33.68,,,,,33.68,2012,33.68,ILOSTAT - LFS - Labour force survey,C,81
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),275,35.25694122,31.94347933,PSE,State of Palestine,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,15.42,,,,,15.42,2012,15.42,ILOSTAT - LFS - Palestinian labour force survey,C,82
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),276,10.3806066,51.08862743,DEU,Germany,1,FEMALE,PERCENT,Female,Percentage,21.87,22.54,23.26,24.31,24.08,24.3,25.3,25.72,26.45,27.31,28.28,27.94,27.06,27.52,27.77,28.05,28.09,27.698,2016,28.09,ILOSTAT - LFS - EU Labour Force Survey,C,83
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),288,-1.205623522,7.964825185,GHA,Ghana,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,26.67,,,,26.67,2013,26.67,ILOSTAT - HS - Living Standards Survey,C,84
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),292,-5.347561686,36.13895036,GIB,Gibraltar,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,85
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),296,-157.5643005,1.768837732,KIR,Kiribati,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,86
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),300,22.58307827,39.47301873,GRC,Greece,1,FEMALE,PERCENT,Female,Percentage,19.88,18.55,15.46,20.73,21.19,23.66,22.49,22.77,26.28,27.01,26.9,22.02,22.24,25.83,27.83,24.67,24.66,25.046,2016,24.66,ILOSTAT - LFS - EU Labour Force Survey,C,87
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),304,-41.39371316,74.75625681,GRL,Greenland,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,88
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),308,-61.68248568,12.11238395,GRD,Grenada,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,89
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),312,-61.64762115,16.14416917,GLP,Guadeloupe,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,90
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),316,144.7029305,13.35485404,GUM,Guam,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,91
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),320,-91.2312746,15.00273719,GTM,Guatemala,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,33.15,60.91,35.57,29.4,35.44,34.63,39.17,34.842,2016,39.17,ILOSTAT - LFS - Monthly Employment and Income Survey,C,92
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),324,-11.28173419,11.00210343,GIN,Guinea,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,93
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),328,-58.97322037,4.788012784,GUY,Guyana,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,94
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),332,-72.33640958,18.40426539,HTI,Haiti,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,95
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),334,73.52633626,-53.09106147,HMD,Heard Island and McDonald Islands,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,96
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),336,12.45315803,41.90343751,VAT,Holy See,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,97
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),340,-86.59974381,14.82243161,HND,Honduras,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,42.39,41.08,41.735,2016,41.08,ILOSTAT - HS - Continous Multi-Purpose Household Survey,C,98
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),344,114.0266445,22.41749934,HKG,"China, Hong Kong Special Administrative Region",1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,99
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),348,19.41221519,47.1651448,HUN,Hungary,1,FEMALE,PERCENT,Female,Percentage,34.19,37.65,37.86,37.19,36.65,39.4,40.94,39.04,40.78,39.9,39.96,38.22,36.26,38.26,37.59,39.06,37.72,37.778,2016,37.72,ILOSTAT - LFS - EU Labour Force Survey,C,100
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),352,-19.02116966,64.79134763,ISL,Iceland,1,FEMALE,PERCENT,Female,Percentage,30.41,30.18,32.26,40,38.12,30.04,33.97,33.06,36.96,38.35,37.14,39.09,38.2,37.87,38.24,39.51,34.76,37.716,2016,34.76,ILOSTAT - LFS - EU Labour Force Survey,C,101
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),356,79.3608464,22.34642074,IND,India,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,102
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),360,113.9174,-0.994582204,IDN,Indonesia,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,17.8,19.24,,,16.6,,21.46,,19.03,2015,21.46,ILOSTAT - LFS - National Labour Force Survey,C,103
